"No."	"PosX"	"PosY"	"PosZ"	"FrontX"	"FrontY"	"FrontZ"	"LeftX"	"LeftY"	"LeftZ"	"UpX"	"UpY"	"UpZ"
1	5.980695	2.483005	-2.291811	-0.860590	0.002245	0.509293	0.509294	0.000000	0.860592	0.001932	0.999997	-0.001143
2	5.937646	2.483118	-2.266380	-0.861532	0.002253	0.507698	0.507699	0.000004	0.861534	0.001939	0.999997	-0.001147
3	5.894554	2.483230	-2.241021	-0.862478	0.002261	0.506089	0.506090	0.000007	0.862481	0.001947	0.999997	-0.001151
4	5.851415	2.483344	-2.215741	-0.863439	0.002269	0.504449	0.504450	0.000011	0.863441	0.001954	0.999997	-0.001154
5	5.808226	2.483457	-2.190548	-0.864423	0.002277	0.502760	0.502761	0.000014	0.864425	0.001961	0.999997	-0.001157
6	5.764983	2.483571	-2.165449	-0.865441	0.002285	0.501005	0.501006	0.000017	0.865444	0.001969	0.999997	-0.001159
7	5.721689	2.483686	-2.140437	-0.866492	0.002293	0.499186	0.499187	0.000019	0.866494	0.001977	0.999997	-0.001161
8	5.678346	2.483801	-2.115509	-0.867567	0.002300	0.497315	0.497316	0.000021	0.867569	0.001985	0.999997	-0.001162
9	5.634950	2.483916	-2.090673	-0.868669	0.002308	0.495387	0.495389	0.000023	0.868671	0.001993	0.999997	-0.001164
10	5.591497	2.484032	-2.065938	-0.869800	0.002315	0.493399	0.493400	0.000025	0.869802	0.002001	0.999997	-0.001164
11	5.547982	2.484148	-2.041313	-0.870962	0.002323	0.491345	0.491347	0.000027	0.870964	0.002010	0.999997	-0.001165
12	5.504408	2.484264	-2.016792	-0.872153	0.002330	0.489228	0.489229	0.000028	0.872155	0.002018	0.999997	-0.001164
13	5.460779	2.484381	-1.992369	-0.873372	0.002337	0.487048	0.487050	0.000029	0.873374	0.002027	0.999997	-0.001164
14	5.417089	2.484498	-1.968053	-0.874619	0.002344	0.484805	0.484807	0.000030	0.874621	0.002035	0.999997	-0.001163
15	5.373335	2.484615	-1.943854	-0.875895	0.002351	0.482496	0.482498	0.000031	0.875897	0.002044	0.999997	-0.001162
16	5.329513	2.484733	-1.919782	-0.877201	0.002358	0.480118	0.480120	0.000032	0.877203	0.002053	0.999997	-0.001160
17	5.285624	2.484851	-1.895830	-0.878534	0.002364	0.477674	0.477675	0.000032	0.878536	0.002062	0.999997	-0.001158
18	5.241672	2.484969	-1.871992	-0.879894	0.002371	0.475164	0.475165	0.000033	0.879897	0.002071	0.999997	-0.001155
19	5.197653	2.485088	-1.848277	-0.881282	0.002377	0.472585	0.472586	0.000033	0.881285	0.002080	0.999997	-0.001152
20	5.153562	2.485207	-1.824696	-0.882699	0.002384	0.469934	0.469935	0.000033	0.882701	0.002089	0.999997	-0.001149
21	5.109396	2.485326	-1.801260	-0.884144	0.002390	0.467208	0.467209	0.000032	0.884147	0.002098	0.999997	-0.001145
22	5.065157	2.485446	-1.777963	-0.885618	0.002396	0.464408	0.464410	0.000032	0.885621	0.002107	0.999997	-0.001141
23	5.020848	2.485566	-1.754795	-0.887118	0.002402	0.461537	0.461538	0.000032	0.887120	0.002116	0.999997	-0.001137
24	4.976464	2.485686	-1.731769	-0.888645	0.002408	0.458590	0.458592	0.000031	0.888647	0.002125	0.999997	-0.001132
25	4.932002	2.485807	-1.708896	-0.890199	0.002413	0.455566	0.455567	0.000030	0.890201	0.002134	0.999997	-0.001127
26	4.887458	2.485928	-1.686188	-0.891781	0.002419	0.452460	0.452462	0.000030	0.891784	0.002144	0.999997	-0.001121
27	4.842834	2.486049	-1.663637	-0.893390	0.002424	0.449275	0.449277	0.000029	0.893393	0.002153	0.999997	-0.001115
28	4.798133	2.486170	-1.641234	-0.895023	0.002429	0.446012	0.446014	0.000028	0.895026	0.002162	0.999997	-0.001108
29	4.753351	2.486292	-1.618992	-0.896682	0.002434	0.442668	0.442669	0.000027	0.896685	0.002171	0.999997	-0.001102
30	4.708484	2.486414	-1.596924	-0.898367	0.002439	0.439239	0.439240	0.000026	0.898370	0.002180	0.999997	-0.001094
31	4.663529	2.486536	-1.575042	-0.900078	0.002444	0.435722	0.435723	0.000024	0.900081	0.002189	0.999997	-0.001087
32	4.618487	2.486658	-1.553337	-0.901814	0.002449	0.432118	0.432120	0.000023	0.901816	0.002198	0.999997	-0.001079
33	4.573362	2.486781	-1.531801	-0.903571	0.002453	0.428430	0.428432	0.000022	0.903574	0.002207	0.999997	-0.001071
34	4.528149	2.486903	-1.510448	-0.905352	0.002457	0.424654	0.424655	0.000020	0.905355	0.002216	0.999997	-0.001062
35	4.482846	2.487026	-1.489289	-0.907157	0.002461	0.420785	0.420786	0.000019	0.907160	0.002225	0.999997	-0.001053
36	4.437449	2.487150	-1.468340	-0.908986	0.002465	0.416820	0.416821	0.000017	0.908988	0.002234	0.999997	-0.001043
37	4.391959	2.487273	-1.447592	-0.910837	0.002469	0.412759	0.412760	0.000016	0.910840	0.002242	0.999997	-0.001034
38	4.346380	2.487397	-1.427034	-0.912708	0.002473	0.408605	0.408607	0.000014	0.912711	0.002251	0.999997	-0.001024
39	4.300708	2.487520	-1.406681	-0.914599	0.002476	0.404355	0.404357	0.000013	0.914601	0.002259	0.999997	-0.001013
40	4.254940	2.487644	-1.386548	-0.916510	0.002479	0.400005	0.400006	0.000011	0.916512	0.002268	0.999997	-0.001002
41	4.209073	2.487768	-1.366649	-0.918441	0.002482	0.395551	0.395552	0.000010	0.918443	0.002276	0.999997	-0.000991
42	4.163108	2.487892	-1.346976	-0.920389	0.002485	0.390996	0.390998	0.000008	0.920392	0.002284	0.999997	-0.000979
43	4.117049	2.488017	-1.327517	-0.922352	0.002487	0.386342	0.386343	0.000007	0.922355	0.002292	0.999997	-0.000967
44	4.070892	2.488141	-1.308288	-0.924331	0.002490	0.381583	0.381584	0.000005	0.924334	0.002299	0.999997	-0.000955
45	4.024635	2.488266	-1.289304	-0.926326	0.002492	0.376716	0.376717	0.000004	0.926328	0.002307	0.999997	-0.000942
46	3.978275	2.488391	-1.270582	-0.928335	0.002494	0.371735	0.371737	0.000002	0.928338	0.002314	0.999997	-0.000929
47	3.931815	2.488515	-1.252113	-0.930359	0.002495	0.366642	0.366643	0.000001	0.930362	0.002321	0.999997	-0.000916
48	3.885255	2.488640	-1.233884	-0.932393	0.002496	0.361439	0.361440	-0.000000	0.932395	0.002328	0.999997	-0.000902
49	3.838593	2.488765	-1.215911	-0.934436	0.002498	0.356122	0.356124	-0.000002	0.934439	0.002334	0.999997	-0.000888
50	3.791829	2.488890	-1.198213	-0.936488	0.002498	0.350690	0.350691	-0.000003	0.936491	0.002341	0.999997	-0.000873
51	3.744961	2.489015	-1.180806	-0.938549	0.002499	0.345137	0.345138	-0.000004	0.938552	0.002347	0.999997	-0.000859
52	3.697990	2.489140	-1.163680	-0.940614	0.002499	0.339468	0.339469	-0.000005	0.940617	0.002353	0.999997	-0.000844
53	3.650915	2.489265	-1.146822	-0.942683	0.002499	0.333681	0.333682	-0.000006	0.942686	0.002358	0.999997	-0.000828
54	3.603737	2.489390	-1.130250	-0.944753	0.002499	0.327775	0.327776	-0.000007	0.944756	0.002363	0.999997	-0.000812
55	3.556456	2.489515	-1.113982	-0.946824	0.002499	0.321743	0.321744	-0.000008	0.946827	0.002368	0.999997	-0.000796
56	3.509072	2.489640	-1.098037	-0.948894	0.002498	0.315584	0.315585	-0.000009	0.948897	0.002373	0.999997	-0.000780
57	3.461583	2.489765	-1.082404	-0.950962	0.002497	0.309296	0.309297	-0.000010	0.950965	0.002377	0.999997	-0.000763
58	3.413990	2.489890	-1.067069	-0.953025	0.002495	0.302882	0.302883	-0.000010	0.953028	0.002381	0.999997	-0.000746
59	3.366294	2.490014	-1.052051	-0.955079	0.002493	0.296340	0.296341	-0.000011	0.955082	0.002384	0.999997	-0.000729
60	3.318497	2.490139	-1.037369	-0.957124	0.002491	0.289668	0.289669	-0.000011	0.957127	0.002387	0.999997	-0.000711
61	3.270599	2.490264	-1.023043	-0.959157	0.002489	0.282862	0.282863	-0.000011	0.959160	0.002390	0.999997	-0.000693
